epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,5438.85,0.34435,0.40577,0.20346,0.00106,0.06749,0.99475,0.98841,0.99474,0.95449,0.99475,0.98841,0.99474,0.91397,0.34423,0.42607,0.2009,0.00122,0,0.0002971,0.0002971,0.0002971
73,5517.89,0.33407,0.43159,0.20046,0.001,0.04899,0.99103,0.99037,0.9948,0.96159,0.99103,0.99037,0.9948,0.90219,0.32469,0.43379,0.17249,0.00117,0,0.0002872,0.0002872,0.0002872
74,5595.76,0.33576,0.43169,0.20589,0.00099,0.06721,0.98779,0.9901,0.99482,0.95226,0.98779,0.9901,0.99482,0.90653,0.31584,0.43986,0.19394,0.0011,0,0.0002773,0.0002773,0.0002773
75,5670.01,0.32535,0.36621,0.19957,0.00097,0.04739,0.98222,0.99341,0.99455,0.96152,0.98222,0.99341,0.99455,0.90457,0.31717,0.44223,0.22778,0.00113,0,0.0002674,0.0002674,0.0002674
76,5744.14,0.33748,0.34819,0.19545,0.00099,0.05032,0.98461,0.99097,0.99437,0.95897,0.98461,0.99097,0.99437,0.91028,0.32087,0.43298,0.22989,0.00118,0,0.0002575,0.0002575,0.0002575
77,5819.12,0.33101,0.3792,0.1918,0.00104,0.04969,0.98462,0.99068,0.99406,0.9638,0.98462,0.99068,0.99406,0.90187,0.30905,0.42941,0.2594,0.00114,0,0.0002476,0.0002476,0.0002476
78,5892.57,0.33532,0.33925,0.20254,0.00141,0.04022,0.98893,0.98702,0.99358,0.96231,0.98893,0.98702,0.99358,0.90917,0.30763,0.42571,0.25745,0.00111,0,0.0002377,0.0002377,0.0002377
79,5967.18,0.35992,0.38474,0.23281,0.00112,0.05826,0.98834,0.98777,0.99345,0.96332,0.98834,0.98777,0.99345,0.90779,0.34595,0.42139,0.2535,0.00135,0,0.0002278,0.0002278,0.0002278
80,6041.07,0.3341,0.41714,0.20183,0.00105,0.04943,0.98659,0.989,0.99345,0.95949,0.98659,0.989,0.99345,0.91008,0.31699,0.42101,0.25401,0.00116,0,0.0002179,0.0002179,0.0002179
81,6115.01,0.31773,0.36966,0.20565,0.00095,0.05123,0.98511,0.98724,0.99397,0.96403,0.98511,0.98724,0.99397,0.9093,0.33015,0.42574,0.27719,0.0012,0,0.000208,0.000208,0.000208
82,6190.07,0.34414,0.38217,0.20516,0.00106,0.04536,0.98185,0.99034,0.99392,0.96878,0.98185,0.99034,0.99392,0.90433,0.31176,0.43123,0.2764,0.00109,0,0.0001981,0.0001981,0.0001981
83,6267.52,0.33568,0.42921,0.19404,0.00103,0.04592,0.98022,0.99122,0.99403,0.9597,0.98022,0.99122,0.99403,0.9091,0.32906,0.43055,0.23973,0.00121,0,0.0001882,0.0001882,0.0001882
